MICEXINDEXCF	Индекс ММВБ
MICEXFNL	Индекс ММВБ FNL
MICEXLC	Индекс ММВБ LC
MICEXMC	Индекс ММВБ MC
MICEXSC	Индекс ММВБ SC
MICEXMNF	Индекс ММВБ-Машиностроение
MICEXMANDM	Индекс ММВБ-Металлургия
MICEXOANDG	Индекс ММВБ-Нефть и Газ
MICEXTLC	Индекс ММВБ-Телекоммуникации
MICEXPWR	Индекс ММВБ-Энергетика
MICEX10INDEX	ММВБ Индекс ММВБ10
MICEXTECHIND	ТехИндекс ММВБ
SCOH	7Континент
AVAZ	АВТОВАЗ
AVAZPP	АВТОВАЗ пр.
SVZB	АКБ Связь-Банк
ARMD	АРМАДА
AFKC	АФК Система
RU14AVAN8010	Авангард
AKRN	Акрон
RU14APTK1007	Аптечная сеть 36,6
ARSA	Арсагера
ASSB	АстраханьЭнергоСбыт
AMEZ	Ашинский метзавод
AFLT	Аэрофлот
PKBA	Балтика
PKBAP	Балтика пр.
VTBR	Банк ВТБ
VTBS	Банк ВТБ Северо-Запад
VTBR-002D	Банк ВТБ-002D
VZRZ	Банк Возрождение
VZRZP	Банк Возрождение пр.
MMBM	Банк Москвы
BSPB	Банк Санкт-Петербург
TAVR	Банк Таврический
RU14BISV1003	БашИнСвязь-1
RU14BISV1011	БашИнСвязь-1 пр.
RU14BISV2001	БашИнСвязь-2
RU14BISV2019	БашИнСвязь-2 пр.
RU14BISV4007	БашИнСвязь-4
RU14BISV4015	БашИнСвязь-4 пр.
BEGY	БашкирЭн
BELO	Белон
BACT	БизнесАктив
BUSB	БурятЭнергоСбыт
VFRM	ВЕРОФАРМ
RU14VOST1005	ВНК
VSMO	ВСМПО-АВИСМА
WBDF	Вимм-Билль-Данн ПП
VLHZ	ВладимирХимЗавод
VDSB	ВладимирЭнергоСбыт
VTEL	ВолгаТелеком
VTELP	ВолгаТелеком пр.
VGSB	ВолгоградЭнергоСбыт
VGSBP	ВолгоградЭнергоСбыт пр.
VTGK	Волжская ТГК
VOSB	ВологдаСбытКомпания
VRSB	ВоронежЭнергоСбыт
VRSBP	ВоронежЭнергоСбыт пр.
VSMZ	Выксунский метзавод
RU0008913751	ГУМ
GAZP	Газпром
SIBN	Газпром нефть
PIKK	Группа Компаний ПИК
LSRG	Группа ЛСР
GRAZ	Группа РАЗГУЛЯЙ
GCHE	Группа Черкизово
FESH	ДВМП
DIXY	ДИКСИ Групп
DIXY-002D	ДИКСИ Групп-002D
DVEC	ДЭК
DASB	ДагестанЭнергоСбыт
DLVB	Дальневосточный банк
DLVBP	Дальневосточный банк пр.
DLSV	Дальсвязь
DLSVP	Дальсвязь пр.
DGBZ	Дорогобуж
DGBZP	Дорогобуж пр.
TGK13	Енисейская ТГК (ТГК-13
ERMK	Ермак-инвест
ZMZN	Заволжский мотозавод
ZMZNP	Заволжский мотозавод пр.
IRAO	ИНТЕР РАО ЕЭС
IRKT	ИРКУТ
IKAR	Икар
ILSO	Илецксоль
ISKJ	Институт СКЧ
RU14INUR2017	Интерурал-2
IRGZ	ИркутскЭн
KMAZ	КАМАЗ
YRSL	КБ Ярославич
KUOS	КНОС
AZKM	КОАО Азот
CMST	КОМСТАР-ОТС
KHEL	Казанский вертолетный з-д
KLSB	КалугаСбытКомпания
KCHE	КамчатскЭн
KCHEP	КамчатскЭн пр.
KISB	КировЭнергоСбыт
KISBP	КировЭнергоСбыт пр.
KCXK	Кирово-Чепецкий ХК
KMEZ	Ковровский МЗ
KOSB	КолЭнергоСбыт
RU0009119986	КомиТЭК
MVID	Компания М.видео
KLNA	Концерн КАЛИНА
BENR	КорСсис
BENRP	КорСсис пр.
KOGK	Коршуновский ГОК
KTSB	КостромаСбытКомпания
KTSBP	КостромаСбытКомпания пр.
KZMS	Краснокамский ЗМС
KRSB	КрасноярскЭнергоСбыт
KRSBP	КрасноярскЭнергоСбыт пр.
KRSG	Красноярская ГЭС
KROT	Красный Октябрь
RU0008913868	Красный Октябрь пр.
KUST	Кубанская степь
KUBE	КубаньЭн
KBSB	КубаньЭнергоСбыт
KZBN	КузбассЭн
KUSB	Курская ЭСК
KUSBP	Курская ЭСК пр.
LKOH	ЛУКОЙЛ
LSNG	ЛенЭн
LSNGP	ЛенЭн пр.
LNZL	Лензолото
LNZLP	Лензолото пр.
LPSB	ЛипецкЭнергоСбыт
RU14MBSP7002	МБСП
RU14MGTS2012	МГТС-4 пр.
RU14MGTS5007	МГТС-5
URSAP	МДМ Банк пр.
MERF	МЕРИДИАН
MTLR	МЕЧЕЛ
MAGN	ММК
MSRS	МОЭСК
MRKV	МРСК Волги
MRKK	МРСК Северного Кавказа
MRKZ	МРСК Северо-Запада
MRKS	МРСК Сибири
MRKU	МРСК Урала
MRKC	МРСК Центра
MRKP	МРСК Центра и Приволжья
MRKA	МРСК Юга
MTSI	МТС
MGNT	Магнит
